#,What is your age?,Which country do you currently live in?,How do you describe your gender?,Other,How do you describe your sexual orientation?,Other,What is your current relationship status?,Have you used condoms during the past 12 months?,With a new partner,Casual sex,In a long-term relationship,When travelling,I always use condoms,Other,What is your main reason for using condoms?,"If pregnancy were already prevented by another method, how likely would you be to use a condom with a new or casual partner?",RFSU,Durex,MR SIZE,ONE,LELO,I never buy condoms,I don't remember,Other,Who normally buys the condoms you use?,Other,Pharmacy,Supermarket,Convenience store,Online,Sex shop,Delivery app,Hotel,Nightclub / bar,Vending machine,Not applicable,Safety / trust,Fit,Lubrication,Price,Brand,Packaging / design,Discretion,Sustainability,Availability,Other,Do you normally carry condoms with you?,I don't expect to need one,I forget,I don't like how condom packaging looks,It feels awkward or embarrassing to carry them,My partner normally has them,I can usually buy one when needed,I don't use condoms often,Other,Do you normally keep condoms at home?,I don't expect to need them,I forget to buy them,I'm in a relationship and use another contraceptive method,I don't like using condoms,My partner normally provides them,I don't want condoms visible at home,I don't like the way the packaging looks,Other,Have you ever wanted to use a condom during sex but ended up not using one?,Neither of us had one,We didn't want to interrupt the moment,My partner didn't want to use one,I felt awkward suggesting it,We relied on another form of contraception,I didn't think the STI risk was high,Condoms reduce sensation,Alcohol or drugs affected the decision,Other,I would be more likely to carry condoms with me.,I would be more likely to keep condoms easily accessible at home.,I would be willing to pay more for a better product and better-designed packaging.,Brand's own website,Department store,Hotel room / minibar,Pharmacy,Supermarket,Convenience store,Fashion / concept store,Nightclub / bar,Restaurant bathroom,Gym,Delivery app,Vending machine,Other,Which of these is most appealing to you?,Looks most premium,Looks most stylish,Feels most trustworthy,Most discreet,Most distinctive,Looks highest quality,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,Other,Do you have a second favorite?,Looks most premium,Looks most stylish,Feels most trustworthy,Most discreet,Most distinctive,Looks highest quality,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,Other,What is the maximum price you would be willing to pay for a pack of 12 premium condoms?,Is there anything else you’d like to share with us?,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
6fd3nj26xejdmph6fd3acsb9gy1sw4hp,23 to 28,Sweden,Woman,,Bisexual,,Single,Frequently,With a new partner,Casual sex,,When travelling,,,Protection against STIs,Very likely,,Durex,,,,,,,Both of us,,Pharmacy,,,Online,,,,,,,,Fit,,Price,Brand,,,,,,Sometimes,,,,,,,,,Usually,,,,,,,,,"Yes, once or twice",Neither of us had one,,,,,I didn't think the STI risk was high,,,,Probably not,Probably not,Maybe,Brand's own website,,,Pharmacy,,,,,,,,,,choice 1,,Looks most stylish,,,,,I would feel comfortable carrying it,,I like the colours,I like the logo / typography,,choice 3,,Looks most stylish,,,,,,,I like the colours,I like the logo / typography,,169 SEK,,completed,2026-08-21 12:20:09,,2026-08-21 12:26:17,e265fdf779,,"Thank you for taking part 
in the BEAR condoms survey!"
hsrdwa6jrbirwmy07hsr9it2uihovjsm,28 to 33,Sweden,Woman,,Heterosexual,,Living with a partner,No,With a new partner,,,,,,Both STI and pregnancy protection,Always,,,,,,I never buy condoms,,,My partner,,,,,,,,,,,Not applicable,,,Lubrication,,,Packaging / design,,,Availability,,Never,I don't expect to need one,,,,My partner normally has them,,,,Rarely,I don't expect to need them,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,,,,,,Maybe,Maybe,Definitely,,,,,Supermarket,Convenience store,,,,,Delivery app,,,choice 2,Looks most premium,Looks most stylish,,Most discreet,,Looks highest quality,,,,,,choice 4,,,,,,,,,I like the colours,,,199 SEK,,completed,2026-08-21 12:09:11,,2026-08-21 12:14:08,008b583021,,"Thank you for taking part 
in the BEAR condoms survey!"
6l7w8685y42jlpn6l7w86fwz81x173mh,23 to 28,Sweden,Woman,,Heterosexual,,Dating casually,Frequently,With a new partner,,,,,,Protection against STIs,Likely,,,,,,I never buy condoms,,,My partner,,,,,,,,,,,Not applicable,Safety / trust,,Lubrication,Price,,,,,,,Never,,,,,My partner normally has them,,,,Usually,,,,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,,,,,,Probably not,Probably not,Probably not,,,,Pharmacy,Supermarket,,,,,,,,,choice 3,,Looks most stylish,,,,,,,I like the colours,,,choice 2,Looks most premium,Looks most stylish,,,,Looks highest quality,,,,,,Less than 129 SEK,,completed,2026-08-21 11:52:14,,2026-08-21 11:56:48,a28497d0c7,,"Thank you for taking part 
in the BEAR condoms survey!"
p8temecm77pd2o11p8temf3915e675k9,28 to 33,Sweden,Woman,,Heterosexual,,Living with a partner,No,With a new partner,Casual sex,,,,,Protection against STIs,Very likely,,,,,,I never buy condoms,,,,I dont use condoms,,,,,,,,,,Not applicable,Safety / trust,,,,Brand,,,,Availability,,Never,,,,,,,I don't use condoms often,,Never,I don't expect to need them,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, several times",Neither of us had one,,My partner didn't want to use one,I felt awkward suggesting it,,I didn't think the STI risk was high,,Alcohol or drugs affected the decision,Dis not think about it when I was younger Im afraid,Probably,Maybe,Definitely,,,Hotel room / minibar,Pharmacy,Supermarket,Convenience store,,,,,Delivery app,,,choice 1,Looks most premium,Looks most stylish,,,,,,,I like the colours,I like the logo / typography,,choice 2,,,,Most discreet,,,,I would be comfortable leaving it visible at home,I like the colours,,I felt likt it was branded towards men/gays with the man on the last package. Also it doesnt do with my style.,199 SEK,"My answers might not have been most accurate on some questions regaring why I do not buy condoms, after 5 years in a stable relationship.",completed,2026-08-21 11:45:59,,2026-08-21 11:54:42,a0e5507a3c,,"Thank you for taking part 
in the BEAR condoms survey!"
g7jk3ksqtqrcdv2sdppsg7jk3bgoaysm,28 to 33,Sweden,Man,,Heterosexual,,Living with a partner,No,,,In a long-term relationship,,,,I don't normally use condoms,Never,RFSU,,,,,,,,Both of us,,,,,Online,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Never,,,,,,,I don't use condoms often,,Always,,,,,,,,,"Yes, once or twice",Neither of us had one,,,,,,,,,Probably not,Probably not,Definitely not,Brand's own website,,,Pharmacy,Supermarket,,,,,,,,,choice 3,,Looks most stylish,,,,,,,,,,choice 4,Looks most premium,,,,,,,,,,,129 SEK,,completed,2026-08-21 11:44:17,,2026-08-21 12:01:44,dc0f7a73a7,,"Thank you for taking part 
in the BEAR condoms survey!"
qu6kclg5yzh7azakqu6kcew9urch44vu,23 to 28,Sweden,Man,,Heterosexual,,Single,Occasionally,With a new partner,Casual sex,,When travelling,,,Pregnancy prevention,Rarely,RFSU,,,,,,,,Me,,Pharmacy,Supermarket,,,,,,,,,,Fit,Lubrication,,,Packaging / design,,,,,Rarely,,,I don't like how condom packaging looks,It feels awkward or embarrassing to carry them,,,,,Usually,,,,,,,,,No,,,,,,,,,,Probably,Probably,Probably,Brand's own website,,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 5,,,,,Most distinctive,,,,,I like the logo / typography,,choice 3,,,,,,,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,,,169 SEK,,completed,2026-08-21 11:43:24,,2026-08-21 11:49:14,d8942d2cc6,,"Thank you for taking part 
in the BEAR condoms survey!"
k7dy7s7y6vhnwsc7k7dy7sxu7as8kw74,23 to 28,Sweden,Man,,Heterosexual,,In a relationship,Occasionally,,,In a long-term relationship,,,,My partner prefers condoms,Rarely,RFSU,Durex,MR SIZE,,,,,,Me,,Pharmacy,,,Online,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Rarely,,,,,,,,I have them at home,Always,,,,,,,,,No,,,,,,,,,,Probably not,Definitely not,Definitely not,,,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 2,,Looks most stylish,,Most discreet,Most distinctive,Looks highest quality,,,,,,choice 4,,,,Most discreet,Most distinctive,,,,,,,Less than 129 SEK,,completed,2026-08-21 11:42:50,,2026-08-21 11:51:35,b9990e9d3d,,"Thank you for taking part 
in the BEAR condoms survey!"
0xxrq2m59hd40fyyjpv0xxrcrxby9k0x,33 to 38,Sweden,Woman,,Heterosexual,,Married,No,,,In a long-term relationship,,,,I don't normally use condoms,Very likely,,,,,,,I don't remember,,Me,,,Supermarket,,,,,,,,,Safety / trust,,Lubrication,,,,,,Availability,,Never,,,,,,,I don't use condoms often,,Never,,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, once or twice",,,,,,,Condoms reduce sensation,,,Probably not,Maybe,Probably,Brand's own website,,,Pharmacy,Supermarket,Convenience store,,,,,,,,choice 3,,Looks most stylish,,,,,,,I like the colours,I like the logo / typography,,choice 4,,,,,,,,,I like the colours,,,189 SEK,,completed,2026-08-21 11:37:26,,2026-08-21 11:46:28,5f8a6a7779,,"Thank you for taking part 
in the BEAR condoms survey!"
3k4zgk48jn70zugnc4o293k4zgkamx6j,23 to 28,Sweden,Woman,,Heterosexual,,Living with a partner,No,With a new partner,,,,,,Protection against STIs,Rarely,,,,,,I never buy condoms,,,My partner,,,,,,,,,,,Not applicable,Safety / trust,Fit,Lubrication,,,,,,,,Never,I don't expect to need one,,,,,,I don't use condoms often,,Usually,,,,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,I felt awkward suggesting it,We relied on another form of contraception,I didn't think the STI risk was high,,,,Definitely not,Definitely not,Definitely not,Brand's own website,,,Pharmacy,Supermarket,,,,,,,,,choice 4,,,,Most discreet,,,,,I like the colours,,,choice 6,,Looks most stylish,,Most discreet,,,,,I like the colours,,,149 SEK,,completed,2026-08-21 11:36:04,,2026-08-21 11:41:41,518bc1fa8b,,"Thank you for taking part 
in the BEAR condoms survey!"
vjun9bfkdclhowz2eml7vjun9bfau1wj,28 to 33,Sweden,Woman,,Heterosexual,,Living with a partner,No,With a new partner,Casual sex,,When travelling,,,Both STI and pregnancy protection,Likely,,,,,,I never buy condoms,,,My partner,,,,,,,,,,,Not applicable,,Fit,,,,Packaging / design,Discretion,,,,Rarely,I don't expect to need one,,,,,,,,Sometimes,,,,,,,,,"Yes, several times",,,,I felt awkward suggesting it,,,,,,Probably,Probably not,Probably,,,,Pharmacy,,,Fashion / concept store,,,,,,,choice 6,Looks most premium,Looks most stylish,,,,,,I would be comfortable leaving it visible at home,,I like the logo / typography,,choice 3,,Looks most stylish,,,,,,,I like the colours,,,169 SEK,,completed,2026-08-21 11:30:14,,2026-08-21 11:36:26,051a5f69f8,,"Thank you for taking part 
in the BEAR condoms survey!"
oja3ayh7cls8uenmcql8oja3rt9d49xx,23 to 28,Sweden,Woman,,Heterosexual,,Single,Once or twice,With a new partner,,,When travelling,,,Protection against STIs,Rarely,,,,,,,,Esme,Both of us,,,,,Online,,,,,,,,Fit,Lubrication,,,,,Sustainability,,,Rarely,,,,,,,I don't use condoms often,,Sometimes,,,,,,,,,"Yes, once or twice",Neither of us had one,We didn't want to interrupt the moment,,,We relied on another form of contraception,,,Alcohol or drugs affected the decision,,Probably not,Maybe,Probably,Brand's own website,,,,Supermarket,,,,,,,Vending machine,,,,,,,,,,,,,Mer minimalistisk?,choice 1,,,,,,,,I would be comfortable leaving it visible at home,,,,219 SEK or more,,completed,2026-08-21 11:29:45,,2026-08-21 11:35:37,c6d9fca8e4,,"Thank you for taking part 
in the BEAR condoms survey!"
kc6wm1uswa1n681pfh9kc6wm11u058od,28 to 33,Sweden,Man,,Heterosexual,,Living with a partner,Once or twice,,Casual sex,,,,,Both STI and pregnancy protection,Likely,RFSU,,,,,,,,Both of us,,,,,,,,,,,,,Fit,,Price,,,,,Availability,,Sometimes,,,,,,,,,Usually,,,,,,,,,"Yes, once or twice",Neither of us had one,We didn't want to interrupt the moment,,I felt awkward suggesting it,,,,Alcohol or drugs affected the decision,,Maybe,Maybe,Maybe,Brand's own website,,,Pharmacy,,,,Nightclub / bar,Restaurant bathroom,,Delivery app,,,choice 6,,Looks most stylish,,,,,,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,,choice 1,,Looks most stylish,,,,,I would feel comfortable carrying it,I would be comfortable leaving it visible at home,I like the colours,I like the logo / typography,,Less than 129 SEK,,completed,2026-08-21 10:55:50,,2026-08-21 11:02:32,c669b5b1a2,,"Thank you for taking part 
in the BEAR condoms survey!"
bhfnvbsruxvprpjcmeq8bhfiabahxooc,23 to 28,Sweden,Woman,,Heterosexual,,In a relationship,Once or twice,,,In a long-term relationship,,,,Pregnancy prevention,Always,,,,,,,I don't remember,,My partner,,Pharmacy,,,,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Never,I don't expect to need one,,,,,,,,Usually,,,,,,,,,"Yes, once or twice",Neither of us had one,,,,,,,,,Probably,Probably,Probably not,,Department store,,Pharmacy,Supermarket,,,,,,,Vending machine,,choice 4,Looks most premium,,,,,,,,,,,choice 2,,Looks most stylish,,,,,,,,,,149 SEK,,completed,2026-08-21 10:45:28,,2026-08-21 10:53:53,2d92e0c126,,"Thank you for taking part 
in the BEAR condoms survey!"
zqxuj10jypirbjfz55c35p0baazyfmi5,23 to 28,Sweden,Woman,,Heterosexual,,In a relationship,Occasionally,With a new partner,Casual sex,In a long-term relationship,,,,Both STI and pregnancy protection,Very likely,RFSU,,,,,,,,My partner,,,,,Online,,,,,,,Safety / trust,Fit,Lubrication,,,,,,,,Never,,,I don't like how condom packaging looks,,,,I don't use condoms often,,Always,,,,,,,,,"Yes, several times",,We didn't want to interrupt the moment,My partner didn't want to use one,,,,Condoms reduce sensation,,,Probably not,Maybe,Maybe,Brand's own website,,Hotel room / minibar,,,,,,,,Delivery app,Vending machine,,choice 6,,,Feels most trustworthy,,,Looks highest quality,,,I like the colours,I like the logo / typography,,choice 5,,,,Most discreet,,,,,,,,149 SEK,,completed,2026-08-21 10:39:21,,2026-08-21 10:49:59,2fb3c16050,,"Thank you for taking part 
in the BEAR condoms survey!"
buggls4chfl7gje3fyjmjxzbuggls4ru,28 to 33,Sweden,Woman,,Heterosexual,,Single,Once or twice,With a new partner,,,,,,Protection against STIs,Rarely,,,,,,,I don't remember,,,Got from friend,,,,,,,,,,Not applicable,Safety / trust,Fit,,,,,,,Availability,,Never,,,,,,,I don't use condoms often,,Sometimes,,,,,,,,,"Yes, once or twice",Neither of us had one,,,,,,,,,Maybe,Definitely,Probably,,,Hotel room / minibar,Pharmacy,,Convenience store,,,Restaurant bathroom,,Delivery app,,,choice 2,Looks most premium,,,Most discreet,,Looks highest quality,,,I like the colours,,,choice 4,,,,,,,I would feel comfortable carrying it,,I like the colours,I like the logo / typography,,149 SEK,,completed,2026-08-21 10:27:42,,2026-08-21 10:32:54,370fdcacfb,,"Thank you for taking part 
in the BEAR condoms survey!"
7ppppjkm3m9hsmq1dyu07ppppnk07j13,38 to 43,Sweden,Man,,Heterosexual,,Married,Frequently,,,,,I always use condoms,,Pregnancy prevention,Very likely,RFSU,,,,,,,,Me,,,,,,,,,,,,Safety / trust,Fit,,,,,,,Availability,,Sometimes,,,,,,,,,Always,,,,,,,,,"Yes, once or twice",,,,,,,,Alcohol or drugs affected the decision,,Definitely not,Definitely not,Definitely not,Brand's own website,Department store,Hotel room / minibar,,,,,Nightclub / bar,Restaurant bathroom,,,,,choice 2,Looks most premium,,,Most discreet,,Looks highest quality,,,,,,choice 1,,,,,,,,,I like the colours,,,129 SEK,,completed,2026-08-21 10:22:02,,2026-08-21 10:32:38,4bde8d7be3,,"Thank you for taking part 
in the BEAR condoms survey!"
a2ogo21ohcxnxs521o0sca2ogo2104sw,33 to 38,Sweden,Woman,,Heterosexual,,Single,Frequently,With a new partner,Casual sex,,When travelling,I always use condoms,,Both STI and pregnancy protection,Always,,Durex,,,,,,,Me,,,,,Online,,,,,,,Safety / trust,,,Price,,,,,Availability,,Often,,,,,,,,,Always,,,,,,,,,"Yes, several times",,,,,We relied on another form of contraception,,,,,Probably,Probably,Definitely,,,,Pharmacy,,,,,,,,,,choice 2,Looks most premium,,,Most discreet,,,,,,,,choice 4,Looks most premium,,,Most discreet,,,,,,,,189 SEK,,completed,2026-08-21 10:20:56,,2026-08-21 10:29:09,e361e1ff95,,"Thank you for taking part 
in the BEAR condoms survey!"
i65faud9vkll2wipf9nani65faud9vv8,28 to 33,Sweden,Woman,,Heterosexual,,Married,No,With a new partner,,,,,,Both STI and pregnancy protection,Rarely,,,,,,,I don't remember,,My partner,,Pharmacy,,,,,,,,,,Safety / trust,Fit,,Price,,,,,,,Never,I don't expect to need one,,,,,,,,Never,I don't expect to need them,,,,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,,,,,,Probably not,Probably not,Probably not,,Department store,,Pharmacy,Supermarket,Convenience store,,Nightclub / bar,,,,,,choice 2,Looks most premium,,,,,,,,,,,choice 4,,Looks most stylish,,,,,,,,,,169 SEK,,completed,2026-08-21 10:08:23,,2026-08-21 10:13:10,1d91f96c63,,"Thank you for taking part 
in the BEAR condoms survey!"
yux42j6f3k2m341yux42de2dftvgenbm,Below 23,Sweden,Woman,,Heterosexual,,In a relationship,No,,Casual sex,,,,,Protection against STIs,Never,,,,,,I never buy condoms,,,Both of us,,,,,Online,,,,,,,Safety / trust,Fit,,,,Packaging / design,,,,,Never,,,,,,,I don't use condoms often,,Never,,,,I don't like using condoms,,I don't want condoms visible at home,I don't like the way the packaging looks,,No,,,,,,,,,,Probably not,Probably,Definitely,,Department store,,Pharmacy,Supermarket,,,,,,,,,choice 4,,Looks most stylish,,Most discreet,,Looks highest quality,,I would be comfortable leaving it visible at home,,,,choice 4,Looks most premium,Looks most stylish,,,,,,,,,,149 SEK,,completed,2026-08-21 10:06:58,,2026-08-21 10:10:23,15bd8ccd09,,"Thank you for taking part 
in the BEAR condoms survey!"
3jzrpgddwtjjfg5v3jzyiigcy0npguy7,28 to 33,Sweden,Woman,,Heterosexual,,Living with a partner,Once or twice,With a new partner,,,,,,Pregnancy prevention,Likely,,,,,,I never buy condoms,,,My partner,,,,,,,,,,,Not applicable,Safety / trust,Fit,,,,,,,Availability,,Never,I don't expect to need one,,,,,,,,Rarely,,,I'm in a relationship and use another contraceptive method,,,,,,"Yes, once or twice",Neither of us had one,,,,,,,,,Definitely not,Definitely not,Probably,,,,,,,,Nightclub / bar,,,,,,choice 1,,Looks most stylish,,,,,,,I like the colours,,,choice 3,,Looks most stylish,,,,,,,I like the colours,,,149 SEK,,completed,2026-08-21 10:05:29,,2026-08-21 10:09:34,b9484456b1,,"Thank you for taking part 
in the BEAR condoms survey!"
aisowc9jwcjl7vzyaisxjanj2k5eywkp,33 to 38,Sweden,Woman,,Heterosexual,,Single,No,,,,,,Never lol,Pregnancy prevention,Rarely,,,,,,I never buy condoms,,,My partner,,,,,,,,,,,,,Fit,Lubrication,,,Packaging / design,,,,,Never,,,,,,,I don't use condoms often,,Never,,,,I don't like using condoms,,,,,"Yes, once or twice",,We didn't want to interrupt the moment,,,,,,,,Probably,Probably,Probably,,,Hotel room / minibar,Pharmacy,Supermarket,Convenience store,Fashion / concept store,,,,,,,choice 4,,Looks most stylish,,,,,,,,,,choice 2,,Looks most stylish,,,,,,,,,,Less than 129 SEK,,completed,2026-08-21 10:04:37,,2026-08-21 10:09:28,672a6261f1,,"Thank you for taking part 
in the BEAR condoms survey!"
79z5js8qn1isf9ao79z5szuqm1b3nklk,23 to 28,Sweden,Man,,Heterosexual,,Single,Occasionally,With a new partner,,,When travelling,,,Both STI and pregnancy protection,Rarely,RFSU,,,,,,,,Me,,,,,,,,,,,,Safety / trust,Fit,,,Brand,,,,,,Always,,,,,,,,,Always,,,,,,,,,"Yes, several times",Neither of us had one,We didn't want to interrupt the moment,,I felt awkward suggesting it,,,,Alcohol or drugs affected the decision,,Maybe,Probably not,Probably not,,,,,Supermarket,Convenience store,,,,,,,,choice 2,,Looks most stylish,Feels most trustworthy,,,Looks highest quality,,,,,,choice 3,,Looks most stylish,,,,,I would feel comfortable carrying it,,I like the colours,,,149 SEK,,completed,2026-08-21 09:47:42,,2026-08-21 09:51:51,f140b6a267,,"Thank you for taking part 
in the BEAR condoms survey!"
